id,date,amount,category,description
496,2024-10-16,42.68,JEDZENIE,Burger King
497,2024-10-16,54.87,ROZRYWKA,PlayStation Store
498,2024-10-16,99.85,ZAKUPY,Castorama
499,2024-10-17,49.3,JEDZENIE,Warzywnik
500,2024-10-17,22.51,TRANSPORT,MPK bilet miesięczny
501,2024-10-17,50.88,ROZRYWKA,Helios
502,2024-10-17,156.2,ZAKUPY,RTV Euro AGD
503,2024-10-18,35.85,ZDROWIE,Apteka Dr. Max
504,2024-10-18,236.88,ZAKUPY,RTV Euro AGD
648,2024-10-18,730.0,ROZRYWKA,Weekend spa – Hotel Gorący Potok
505,2024-10-19,39.42,TRANSPORT,Bolt
506,2024-10-19,4.18,ZDROWIE,Apteka Dbam o Zdrowie
507,2024-10-20,44.72,JEDZENIE,Netto
508,2024-10-20,45.03,TRANSPORT,Shell paliwo
509,2024-10-21,83.94,JEDZENIE,Restauracja Stara Kamienica
510,2024-10-21,240.48,ZAKUPY,Amazon
511,2024-10-22,51.31,JEDZENIE,Netto
512,2024-10-22,20.5,TRANSPORT,Autopay autostrada
513,2024-10-22,60.34,ZAKUPY,CCC buty
514,2024-10-23,77.66,JEDZENIE,Lidl
515,2024-10-23,30.53,TRANSPORT,PKP Intercity
516,2024-10-24,47.68,JEDZENIE,Restauracja Stara Kamienica
517,2024-10-24,1.0,ROZRYWKA,Spotify
518,2024-10-24,312.13,RACHUNKI,Gaz PGNIG
519,2024-10-24,153.82,ZDROWIE,Siłownia FitSport
520,2024-10-25,110.25,JEDZENIE,Sushi Bar
521,2024-10-26,63.78,JEDZENIE,Żabka
522,2024-10-26,80.14,ROZRYWKA,PlayStation Store
523,2024-10-27,90.43,JEDZENIE,Netto
524,2024-10-27,97.0,ROZRYWKA,Helios
525,2024-10-28,40.03,JEDZENIE,Netto
526,2024-10-28,62.59,TRANSPORT,PKP Intercity
527,2024-10-29,63.22,JEDZENIE,Kaufland
528,2024-10-29,6.86,TRANSPORT,Orlen paliwo
529,2024-10-30,35.69,JEDZENIE,Piekarnia
530,2024-10-30,111.84,ZDROWIE,Lekarz prywatny
531,2024-10-31,81.06,JEDZENIE,Netto
532,2024-10-31,49.16,TRANSPORT,Flixbus
533,2024-10-31,75.97,ROZRYWKA,Netflix
534,2024-10-31,140.24,ZAKUPY,H&M
535,2024-11-01,90.21,JEDZENIE,McDonald's
536,2024-11-01,18.03,TRANSPORT,Uber
537,2024-11-01,84.13,ZAKUPY,H&M
538,2024-11-02,76.16,JEDZENIE,Aldi
539,2024-11-02,1.0,ROZRYWKA,Steam
540,2024-11-02,245.49,ZAKUPY,Allegro
541,2024-11-03,64.82,JEDZENIE,Carrefour
542,2024-11-03,115.21,ROZRYWKA,PlayStation Store
543,2024-11-04,89.26,JEDZENIE,Żabka
544,2024-11-04,15.43,TRANSPORT,Shell paliwo
545,2024-11-04,11.21,ROZRYWKA,HBO Max
546,2024-11-04,120.65,ZAKUPY,Castorama
547,2024-11-05,53.4,JEDZENIE,Żabka
548,2024-11-05,31.95,ROZRYWKA,Bowling
549,2024-11-05,145.53,ZAKUPY,CCC buty
649,2024-11-05,420.0,RACHUNKI,Naprawa awaryjna – hydraulik
550,2024-11-06,173.55,ZAKUPY,Zara
551,2024-11-07,38.71,JEDZENIE,Piekarnia
552,2024-11-08,35.99,JEDZENIE,Aldi
553,2024-11-08,41.12,TRANSPORT,Parking centrum
554,2024-11-08,35.2,ROZRYWKA,Spotify
555,2024-11-09,76.52,JEDZENIE,Restauracja Stara Kamienica
556,2024-11-09,45.37,TRANSPORT,Flixbus
557,2024-11-10,38.68,TRANSPORT,BlaBlacar
558,2024-11-10,34.28,ROZRYWKA,PlayStation Store
559,2024-11-11,75.08,JEDZENIE,Burger King
560,2024-11-11,76.35,ROZRYWKA,Pub Złoty Kielich
561,2024-11-12,90.63,JEDZENIE,Lidl
562,2024-11-12,52.36,TRANSPORT,Uber
563,2024-11-12,83.38,ROZRYWKA,Teatr Miejski
564,2024-11-13,17.71,TRANSPORT,MPK bilet miesięczny
565,2024-11-13,21.87,ROZRYWKA,Spotify
566,2024-11-14,18.87,JEDZENIE,KFC
567,2024-11-14,50.29,TRANSPORT,Shell paliwo
568,2024-11-15,24.45,TRANSPORT,Parking centrum
569,2024-11-15,295.99,RACHUNKI,Telefon Play
570,2024-11-16,42.22,JEDZENIE,Lidl
571,2024-11-16,41.06,TRANSPORT,Flixbus
572,2024-11-16,86.4,ROZRYWKA,Kręgielnia
573,2024-11-17,27.33,JEDZENIE,Piekarnia
574,2024-11-18,53.43,ROZRYWKA,Bowling
575,2024-11-19,25.42,TRANSPORT,PKP Intercity
576,2024-11-20,38.59,JEDZENIE,Burger King
577,2024-11-20,69.1,ROZRYWKA,HBO Max
578,2024-11-20,219.74,ZAKUPY,Leroy Merlin
579,2024-11-21,42.39,JEDZENIE,Żabka
580,2024-11-21,131.73,ZAKUPY,H&M
581,2024-11-22,56.91,JEDZENIE,Sushi Bar
582,2024-11-23,72.46,JEDZENIE,Aldi
583,2024-11-23,214.41,RACHUNKI,Gaz PGNIG
584,2024-11-24,12.45,TRANSPORT,Autopay autostrada
585,2024-11-24,257.04,ZAKUPY,Castorama
586,2024-11-25,147.63,ROZRYWKA,Kręgielnia
587,2024-11-26,41.84,JEDZENIE,Carrefour
588,2024-11-26,96.95,ZDROWIE,Siłownia FitSport
589,2024-11-27,35.9,ROZRYWKA,Koncert
590,2024-11-28,96.36,JEDZENIE,Netto
591,2024-11-28,24.22,TRANSPORT,Autopay autostrada
592,2024-11-29,94.95,ROZRYWKA,Helios
593,2024-11-30,15.87,TRANSPORT,Bolt
594,2024-12-01,64.87,JEDZENIE,KFC
595,2024-12-02,45.86,TRANSPORT,MPK bilet miesięczny
596,2024-12-02,67.92,ROZRYWKA,Cinema City
597,2024-12-02,356.48,ZAKUPY,RTV Euro AGD
598,2024-12-03,30.31,JEDZENIE,Piekarnia
599,2024-12-04,76.16,JEDZENIE,Żabka
600,2024-12-04,37.3,TRANSPORT,Flixbus
601,2024-12-05,85.99,JEDZENIE,Burger King
602,2024-12-05,79.98,ROZRYWKA,Netflix
603,2024-12-06,56.78,JEDZENIE,Kaufland
604,2024-12-07,60.43,JEDZENIE,Warzywnik
605,2024-12-07,20.77,TRANSPORT,BP paliwo
606,2024-12-08,35.74,JEDZENIE,Żabka
607,2024-12-08,78.48,ZAKUPY,Empik
608,2024-12-10,15.45,JEDZENIE,Burger King
609,2024-12-11,12.4,TRANSPORT,BlaBlacar
610,2024-12-12,41.95,JEDZENIE,Kaufland
611,2024-12-13,90.12,JEDZENIE,Burger King
612,2024-12-13,148.07,ZAKUPY,Amazon
613,2024-12-14,45.75,JEDZENIE,KFC
614,2024-12-14,92.55,ROZRYWKA,HBO Max
615,2024-12-15,74.87,JEDZENIE,Aldi
616,2024-12-15,106.73,ROZRYWKA,Spotify
617,2024-12-16,40.7,JEDZENIE,McDonald's
618,2024-12-17,76.37,JEDZENIE,Warzywnik
619,2024-12-17,91.6,ROZRYWKA,Helios
620,2024-12-18,40.65,JEDZENIE,Restauracja Stara Kamienica
621,2024-12-19,64.13,JEDZENIE,Netto
622,2024-12-20,45.15,JEDZENIE,Żabka
650,2024-12-20,680.0,ZAKUPY,Prezenty świąteczne – ostatnia chwila
623,2024-12-21,57.37,JEDZENIE,Netto
624,2024-12-21,49.76,ROZRYWKA,Kręgielnia
625,2024-12-21,166.6,ZDROWIE,Apteka Dbam o Zdrowie
626,2024-12-22,99.27,JEDZENIE,Restauracja Stara Kamienica
627,2024-12-22,85.14,ROZRYWKA,Teatr Miejski
628,2024-12-23,28.45,JEDZENIE,KFC
629,2024-12-23,48.41,TRANSPORT,BP paliwo
630,2024-12-24,30.84,JEDZENIE,Biedronka
631,2024-12-24,44.17,TRANSPORT,Uber
632,2024-12-25,82.82,JEDZENIE,Biedronka
633,2024-12-25,216.69,ZAKUPY,CCC buty
634,2024-12-26,94.79,JEDZENIE,Aldi
635,2024-12-27,48.39,ROZRYWKA,Koncert
636,2024-12-28,83.7,JEDZENIE,Burger King
637,2024-12-29,44.62,JEDZENIE,Restauracja Stara Kamienica
638,2024-12-29,91.57,ROZRYWKA,HBO Max
639,2024-12-29,91.04,ZAKUPY,H&M
640,2024-12-31,52.99,JEDZENIE,Carrefour
641,2024-12-31,16.41,TRANSPORT,PKP Intercity
651,2024-12-31,310.0,ROZRYWKA,Sylwester – klub nocny
